Epoch,LogLoss,Prior,FullLoss
0,207.25100698742364,None,217.25100698742364
1,145.96082541241145,None,156.24338541241144
2,118.26124581225628,None,128.51218599370446
3,104.70216532216946,None,115.11286955859775
4,94.56062724122543,None,105.1438679694871
5,86.63554141813663,None,97.39978509667709
6,81.37171098207014,None,92.31699362490166
7,76.7565498616606,None,87.88299011241732
8,72.6424314917038,None,83.95269880177216
9,68.9504115277042,None,80.44625004108468
10,65.61766646451849,None,77.29993189270121
11,62.62978447061485,None,74.49860457396906
12,59.97955821267945,None,72.03461102741697
13,57.539775664965745,None,69.78105766042948
14,55.28665916195046,None,67.71350353176081
15,53.19992391928223,None,65.8112880959962
16,51.39640830918991,None,64.19075103047709
17,49.73770666941638,None,62.71319312872939
18,48.18079789512424,None,61.33576740208359
19,46.71674167641808,None,60.04954111144866
