Morpheme,Pl_ka,Pl_son
General,1.5619977344044271,0.35950417964826237
6,0.0,2.111274386165907
5,1.481232663985493,0.4402692500671925
4,1.5621367434517293,0.35936517060095596
24,1.097113800132879,0.8243881139198056
15,0.36091502105480544,1.560586892997879
9,1.3048792048531601,0.6166227091995249
2,0.0,3.0770046283739694
16,1.174344335322328,0.7471575787303576
7,1.3608944816268744,0.5606074324258112
14,1.2096717354221178,0.711830178630568
19,1.1369028980345253,0.7845990160181601
12,1.24308850543007,0.6784134086226156
11,0.18783538001716563,1.7336665340355202
21,1.1369028980345253,0.7845990160181601
8,1.3335461790931509,0.5879557349595343
13,0.27030262719425113,1.6511992868584338
10,1.2747723749873743,0.6467295390653108
23,1.097113800132879,0.8243881139198056
20,1.1369028980345253,0.7845990160181601
18,0.4605298347644389,1.4609720792882472
22,1.1369028980345253,0.7845990160181601
3,1.6651867192810534,0.25631519477163145
1,2.1990255982346096,0.0
17,1.174344335322328,0.7471575787303576
